SPY,SPDR標普500指數ETF,1993/01/22（已成立28年）,1993/1/29,28,0.024654025,美國,股票型,大型股混合型,0.02(月均:0.00),1.46,季配,0.0494,0.0945,38.15,S&P 500 Index,S&P500 (SPY.US)
IVV,iShares核心標普500指數ETF,2000/05/15（已成立21年）,2000/5/19,20,0.022353352,美國,股票型,大型股混合型,0.02(月均:0.01),1.51,季配,0.03,0.03,37.63,S&P 500 Index,S&P500 (SPY.US)
VTI,Vanguard整體股市ETF,2001/05/24（已成立20年）,2001/6/15,19,0.025432556,美國,股票型,大型股混合型,0.06(月均:0.02),1.34,季配,0.02,0.03,39.52,CRSP US Total Market Index,道瓊指數
VOO,Vanguard標普500指數ETF,2010/09/07（已成立10年）,2010/9/9,10,0.022801713,美國,股票型,,0.03(月均:0.01),1.48,季配,0.02,0.03,38.39,S&P 500 Index,S&P500 (SPY.US)
QQQ,Invesco納斯達克100指數ETF,1999/03/10（已成立22年）,1999/3/10,21,0.010294219,美國,股票型,,0.02(月均:-0.01),0.52,季配,0,0.2,36.77,Nasdaq-100 Index,那斯達克 100
VEA,Vanguard FTSE成熟市場ETF,2007/07/20（已成立14年）,2007/7/26,13,0.057759908,全球,股票型,大型股混合型,0.14(月均:0.13),1.95,季配,0.04,0.05,41.29,FTSE Developed All Cap ex US Index,道瓊全球指數
IEFA,iShares MSCI核心歐澳遠東ETF,2012/10/18（已成立8年）,2012/10/24,8,0.029028755,全球,股票型,大型股混合型,0.17(月均:0.18),1.81,半年配,0.07,0.07,41.73,MSCI EAFE IMI Index,道瓊全球指數
AGG,iShares美國核心綜合債券ETF,2003/09/22（已成立17年）,2003/9/29,17,0.045907537,美國,中期債券,,0.00(月均:0.03),2.14,月配,0.04,0.04,12.85,Bloomberg Barclays US Aggregate Bond Index,Bloomberg Barclays US Aggregate Bond Index
VWO,Vanguard FTSE新興市場ETF,2005/03/04（已成立16年）,2005/3/10,15,0.072260428,新興市場,股票型,,0.50(月均:0.32),1.70,季配,0.08,0.1,37.71,FTSE Emerging Markets All Cap China A Inclusion Index,NASDAQ Emerging Markets Index
IEMG,iShares MSCI核心新興市場ETF,2012/10/18（已成立8年）,2012/10/24,8,0.024076016,新興市場,股票型,大型股混合型,0.52(月均:0.31),1.68,半年配,0.13,0.13,39.08,MSCI Emerging Markets Investable Market Index,NASDAQ Emerging Markets Index
VUG,Vanguard成長股指數,2004/01/26（已成立17年）,2004/1/30,17,0.013734127,美國,股票型,大型股成長型,0.06(月均:-0.01),0.64,季配,0.03,0.04,39.11,CRSP US Large Cap Growth Index,道瓊指數
BND,Vanguard總體債券市場ETF,2007/04/03（已成立14年）,2007/4/10,13,0.03966977,美國,債券型,,0.01(月均:0.07),2.22,月配,0.025,0.035,10.67,Bloomberg Barclays U.S. Aggregate Float Adjusted Index.,Bloomberg Barclays US Aggregate Bond Index
IWM,iShares羅素2000 ETF,2000/05/22（已成立21年）,2000/5/26,20,0.015068325,美國,股票型,小型股混合型,0.03(月均:-0.03),0.91,季配,0.19,0.19,51.78,Russell 2000 Index,RUSSELL 2000 INDEX
VTV,Vanguard價值股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.03344588,美國,股票型,大型股價值型,-0.02(月均:0.01),2.43,季配,0.03,0.04,38.5,CRSP US Large Cap Value Index,道瓊指數
IWF,iShares羅素1000成長股ETF,2000/05/22（已成立21年）,2000/5/26,20,0.012938212,美國,股票型,大型股成長型,-0.01(月均:-0.01),0.64,季配,0.19,0.19,38.97,Russell 1000 Growth Index,Russell 1000 Growth Index
IJR,iShares核心標普小型股指數ETF,2000/05/22（已成立21年）,2000/5/26,20,0.01206597,美國,股票型,小型股混合型,0.04(月均:-0.02),0.97,季配,0.06,0.06,50.42,S&P SmallCap 600 Index,道瓊指數
GLD,SPDR黃金ETF,2004/11/18（已成立16年）,2004/11/18,16,0,全球,貴重金屬,,0.07(月均:-0.12),N/A,,0.4,0.4,20.17,Gold Price,LBMA Gold Price
IJH,iShares核心標普中型股指數ETF,2000/05/22（已成立21年）,2000/5/26,20,0.014795876,美國,股票型,中型股混合型,0.02(月均:0.00),1.16,季配,0.05,0.05,51.2,S&P MidCap 400 Index,道瓊指數
EFA,iShares MSCI歐澳遠東ETF,2001/08/14（已成立20年）,2001/8/27,19,0.041686674,全球,股票型,大型股混合型,0.04(月均:0.16),2.04,半年配,0.32,0.32,40.75,MSCI EAFE Index,道瓊全球指數
